Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,180.199997,189.899994,178.000000,188.600006,188.600006,8394533
2021-12-14,194.000000,196.699997,187.800003,191.199997,191.199997,8759384
2021-12-15,193.399994,197.300003,188.899994,193.600006,193.600006,6533644
2021-12-16,195.800003,206.600006,192.500000,206.300003,206.300003,7604667
2021-12-17,208.199997,220.800003,185.800003,186.600006,186.600006,8851603
2021-12-20,179.000000,193.899994,169.199997,184.699997,184.699997,6228735
2021-12-21,185.000000,186.500000,166.300003,166.300003,166.300003,4482994
2021-12-22,158.000000,163.000000,149.699997,149.699997,149.699997,7152461
2021-12-23,150.199997,153.000000,136.000000,142.899994,142.899994,11636452
2021-12-24,145.199997,154.600006,143.800003,154.600006,154.600006,4365138
2021-12-27,155.199997,163.800003,152.199997,152.800003,152.800003,5666613
2021-12-28,156.000000,157.100006,147.100006,149.600006,149.600006,3837191
2021-12-29,149.600006,157.399994,147.199997,156.199997,156.199997,4186549
2021-12-30,158.000000,160.300003,152.300003,152.600006,152.600006,3148127
2021-12-31,153.199997,158.000000,151.399994,154.399994,154.399994,3232173
2022-01-03,154.399994,166.300003,153.000000,166.300003,166.300003,5599549
2022-01-04,167.100006,173.899994,164.600006,169.500000,169.500000,7210989
2022-01-05,169.600006,179.100006,168.000000,178.899994,178.899994,6211002
2022-01-06,176.399994,189.100006,175.000000,186.899994,186.899994,6744196
2022-01-07,188.000000,189.699997,182.199997,186.899994,186.899994,4742318
2022-01-10,187.000000,191.600006,185.500000,187.100006,187.100006,5495003
2022-01-11,189.699997,190.500000,180.500000,187.300003,187.300003,5269068
2022-01-12,191.000000,192.000000,187.000000,189.199997,189.199997,3763152
2022-01-13,187.699997,194.500000,186.600006,189.100006,189.100006,4744979
2022-01-14,189.100006,190.800003,184.699997,186.600006,186.600006,3266601
2022-01-17,188.899994,192.899994,188.699997,189.100006,189.100006,3791435
2022-01-18,188.199997,189.399994,178.800003,178.800003,178.800003,2885733
2022-01-19,177.600006,187.500000,172.899994,186.800003,186.800003,5661067
2022-01-20,187.000000,188.600006,177.699997,180.399994,180.399994,5207730
2022-01-21,178.800003,181.399994,174.699997,179.199997,179.199997,5119070
2022-01-24,177.899994,177.899994,164.699997,166.399994,166.399994,6153469
2022-01-25,166.600006,169.399994,162.100006,168.000000,168.000000,4231016
2022-01-26,168.000000,170.899994,166.600006,167.000000,167.000000,3575825
2022-01-27,163.000000,172.699997,162.500000,172.199997,172.199997,3446082
2022-01-28,172.500000,175.000000,167.199997,168.699997,168.699997,3534101
2022-01-31,171.699997,173.600006,170.300003,171.199997,171.199997,3075974
2022-02-01,172.000000,173.500000,167.800003,169.199997,169.199997,2342098
2022-02-02,170.000000,173.300003,169.300003,169.500000,169.500000,3103718
2022-02-03,169.000000,173.000000,166.000000,167.399994,167.399994,2461802
2022-02-04,169.000000,171.199997,165.500000,165.500000,165.500000,3211651
2022-02-07,165.699997,171.500000,162.000000,171.500000,171.500000,4870638
2022-02-08,172.500000,185.000000,171.600006,183.699997,183.699997,7919009
2022-02-09,184.500000,190.699997,182.600006,186.500000,186.500000,7265908
2022-02-10,186.500000,191.000000,184.899994,190.000000,190.000000,5451768
2022-02-11,188.500000,197.699997,188.300003,197.699997,197.699997,8164565
2022-02-14,195.000000,198.500000,190.300003,193.800003,193.800003,7774208
2022-02-15,194.199997,197.899994,194.100006,194.699997,194.699997,4705194
2022-02-16,195.800003,198.800003,192.899994,195.600006,195.600006,5497637
2022-02-17,197.600006,198.300003,190.600006,191.000000,191.000000,7438258
2022-02-18,192.100006,194.199997,189.699997,192.300003,192.300003,3780862
2022-02-21,194.399994,196.699997,187.600006,189.399994,189.399994,4158155
2022-02-22,186.500000,189.300003,182.899994,184.100006,184.100006,5320110
2022-02-23,185.399994,186.699997,182.899994,183.899994,183.899994,3189133
2022-02-24,170.699997,173.000000,165.600006,166.899994,166.899994,4049942
2022-02-25,171.000000,181.600006,170.000000,179.899994,179.899994,4596195
2022-02-28,177.899994,194.000000,175.300003,192.899994,192.899994,8910734
2022-03-01,193.800003,195.600006,189.500000,193.100006,193.100006,4589737
2022-03-02,194.100006,200.500000,191.300003,192.300003,192.300003,6341940
2022-03-03,195.600006,199.199997,190.100006,196.600006,196.600006,6767725
2022-03-04,196.199997,198.800003,194.699997,195.500000,195.500000,4703554
2022-03-07,198.000000,202.899994,193.100006,193.100006,193.100006,5683530
2022-03-08,194.000000,196.699997,193.500000,195.600006,195.600006,5142691
2022-03-09,198.399994,200.600006,195.800003,196.000000,196.000000,5623056
2022-03-10,195.600006,206.600006,193.699997,205.899994,205.899994,11486876
2022-03-11,205.000000,206.100006,200.000000,204.899994,204.899994,5899930
2022-03-14,205.199997,205.699997,202.800003,202.800003,202.800003,2400619
2022-03-15,200.000000,201.699997,194.000000,194.000000,194.000000,4955393
2022-03-16,196.000000,197.000000,191.100006,192.000000,192.000000,4236790
2022-03-17,192.800003,200.500000,192.800003,198.300003,198.300003,6912827
2022-03-18,200.199997,200.800003,196.000000,196.000000,196.000000,3132007
2022-03-21,199.500000,204.500000,199.300003,203.899994,203.899994,4534807
2022-03-22,204.199997,208.300003,203.199997,206.600006,206.600006,5385248
2022-03-23,207.399994,209.500000,204.699997,205.699997,205.699997,4185087
2022-03-24,206.199997,210.300003,205.300003,205.300003,205.300003,5031779
2022-03-25,206.000000,208.800003,205.399994,206.300003,206.300003,2420739
2022-03-28,206.300003,209.399994,203.300003,205.300003,205.300003,2957595
2022-03-29,206.100006,210.300003,203.699997,206.399994,206.399994,6914946
2022-03-30,207.699997,208.300003,206.000000,206.399994,206.399994,2716261
2022-03-31,206.100006,215.300003,206.000000,214.399994,214.399994,6391151
2022-04-01,214.399994,230.000000,211.500000,227.399994,227.399994,9776466
2022-04-04,232.000000,242.500000,230.399994,241.899994,241.899994,8540726
2022-04-05,243.000000,247.300003,238.300003,241.000000,241.000000,7276018
2022-04-06,240.300003,247.899994,239.800003,240.699997,240.699997,6536677
2022-04-07,242.000000,242.899994,237.800003,238.399994,238.399994,5044607
2022-04-08,240.199997,245.199997,240.000000,244.199997,244.199997,4814777
2022-04-11,244.199997,246.800003,240.600006,246.699997,246.699997,5322453
2022-04-12,247.000000,254.399994,245.500000,253.300003,253.300003,7105046
2022-04-13,257.000000,264.000000,255.899994,256.200012,256.200012,7321716
2022-04-14,259.000000,261.399994,254.399994,259.200012,259.200012,4523159
2022-04-15,259.500000,262.899994,259.000000,259.700012,259.700012,2707971
2022-04-18,260.100006,262.200012,250.899994,251.500000,251.500000,7087690
2022-04-19,252.300003,257.799988,252.199997,255.800003,255.800003,8607748
2022-04-20,256.500000,259.000000,253.000000,254.500000,254.500000,6068229
2022-04-21,254.500000,258.799988,254.500000,257.500000,257.500000,4242277
